DNA tube,Island/Atoll,Site ID,Location #,Coral #,latitude,longitude
1,French Frigate Shoals,FFS_30,2,1,23.84955,-166.297267
2,French Frigate Shoals,FFS_30,2,2,23.84955,-166.297267
3,French Frigate Shoals,FFS_30,2,3,23.84955,-166.297267
4,French Frigate Shoals,FFS_30,2,4,23.84955,-166.297267
5,French Frigate Shoals,FFS_30,2,5,23.84955,-166.297267
6,French Frigate Shoals,FFS_30,2,6,23.84955,-166.297267
7,French Frigate Shoals,FFS_30,2,7,23.84955,-166.297267
8,French Frigate Shoals,FFS_30,2,8,23.84955,-166.297267
9,French Frigate Shoals,FFS_30,2,9,23.84955,-166.297267
10,French Frigate Shoals,FFS_30,2,10,23.84955,-166.297267
11,French Frigate Shoals,FFS_33,3,1,23.836467,-166.266833
12,French Frigate Shoals,FFS_33,3,2,23.836467,-166.266833
13,French Frigate Shoals,FFS_33,3,3,23.836467,-166.266833
14,French Frigate Shoals,FFS_33,3,4,23.836467,-166.266833
15,French Frigate Shoals,FFS_33,3,5,23.836467,-166.266833
16,French Frigate Shoals,FFS_33,3,6,23.836467,-166.266833
17,French Frigate Shoals,FFS_33,3,7,23.836467,-166.266833
18,French Frigate Shoals,FFS_33,3,8,23.836467,-166.266833
19,French Frigate Shoals,FFS_33,3,9,23.836467,-166.266833
20,French Frigate Shoals,FFS_33,3,10,23.836467,-166.266833
21,French Frigate Shoals,FFS_32,4,1,23.8061,-166.230633
22,French Frigate Shoals,FFS_32,4,2,23.8061,-166.230633
23,French Frigate Shoals,FFS_32,4,3,23.8061,-166.230633
24,French Frigate Shoals,FFS_32,4,4,23.8061,-166.230633
25,French Frigate Shoals,FFS_32,4,5,23.8061,-166.230633
26,French Frigate Shoals,FFS_32,4,6,23.8061,-166.230633
27,French Frigate Shoals,FFS_32,4,7,23.8061,-166.230633
28,French Frigate Shoals,FFS_32,4,8,23.8061,-166.230633
29,French Frigate Shoals,FFS_32,4,9,23.8061,-166.230633
30,French Frigate Shoals,FFS_32,4,10,23.8061,-166.230633
31,Maro Reef,MAR_32,1,1,25.354,-170.5393
32,Maro Reef,MAR_32,1,2,25.354,-170.5393
33,Maro Reef,MAR_32,1,3,25.354,-170.5393
34,Maro Reef,MAR_32,1,4,25.354,-170.5393
35,Maro Reef,MAR_32,1,5,25.354,-170.5393
36,Maro Reef,MAR_32,1,6,25.354,-170.5393
37,Maro Reef,MAR_32,1,7,25.354,-170.5393
38,Maro Reef,MAR_32,1,8,25.354,-170.5393
39,Maro Reef,MAR_32,1,9,25.354,-170.5393
40,Maro Reef,MAR_32,1,10,25.354,-170.5393
41,Maro Reef,MAR_31,2,1,25.344,-170.5283333
42,Maro Reef,MAR_31,2,2,25.344,-170.5283333
43,Maro Reef,MAR_31,2,3,25.344,-170.5283333
44,Maro Reef,MAR_31,2,4,25.344,-170.5283333
45,Maro Reef,MAR_31,2,5,25.344,-170.5283333
46,Maro Reef,MAR_31,2,6,25.344,-170.5283333
47,Maro Reef,MAR_31,2,7,25.344,-170.5283333
48,Maro Reef,MAR_31,2,8,25.344,-170.5283333
49,Maro Reef,MAR_31,2,9,25.344,-170.5283333
