Sample.ID,Location,Site,depth..ft,filter.number,acidified,N.ug,d15N,C.ug,d13C
FFS_2,French Frigate Shoals,FFS_30,18,2,N,16.1,5.7,135.6,-19.5
FFS_3,French Frigate Shoals,FFS_30,18,3,Y,16.7,7.5,102.3,-22.7
FFS_8,French Frigate Shoals,FFS_32,21,8,N,12.4,5.1,136,-16.3
FFS_9,French Frigate Shoals,FFS_32,21,9,Y,11.2,6.9,88,-24.2
FFS_6,French Frigate Shoals,FFS_33,35,6,N,12.3,4.1,113.1,-19.2
FFS_5,French Frigate Shoals,FFS_33,35,5,Y,16,6.8,109.8,-22.4
KUR_5,Kure,KUR_14,8,5,N,9.9,4,115.7,-15.8
KUR_6,Kure,KUR_14,8,6,Y,18.8,8,136.5,-19.8
KUR_3,Kure,KUR_R36,7,3,N,15.6,4.8,255.2,-12.2
KUR_1,Kure,KUR_R36,7,1,Y,13.3,6,117,-22.7
KUR_7,Kure,KUR_TC14,9,7,N,16.8,5.1,168.3,-18.7
KUR_9,Kure,KUR_TC14,9,9,Y,17.1,5.2,144.4,-21.7
KUR_10,Kure,KUR_TC17,4,10,N,18.1,4.3,299.7,-11.6
KUR_11,Kure,KUR_TC17,4,11,Y,11.4,5.2,106.4,-21.7
LAY_9,Laysan,LAY_5,33,9,N,13.2,3.8,191.3,-14.9
LAY_7,Laysan,LAY_5,33,7,Y,30.4,6.4,294.4,-24.5
LAY_5,Laysan,LAY_R11,25,5,N,16.9,4,208.3,-14.6
LAY_6,Laysan,LAY_R11,25,6,Y,16.5,5.1,126.3,-22.8
LAY_2,Laysan,LAY_R12,41,2,N,14.3,3.5,150.4,-17.4
LAY_3,Laysan,LAY_R12,41,3,Y,18.4,4.2,141.5,-22.8
LIS_7,Lisianski,LIS_4008-2014,27,7,N,17.6,4.2,231.4,-20.4
LIS_9,Lisianski,LIS_4008-2014,27,9,Y,21.7,5.6,183.6,-24
LIS_23,Lisianski,LIS_4014-2014,38,23,N,16.4,3.6,163.8,-20.3
LIS_24,Lisianski,LIS_4014-2014,38,24,Y,NA,NA,80.9,-24.2
LIS_26,Lisianski,LIS_4019-2014,40,26,N,19.2,4.4,251.3,-18.1
LIS_25,Lisianski,LIS_4019-2014,40,25,Y,20,5.9,165.6,-25
LIS_5,Lisianski,LIS_4067,8,5,N,28.2,5.5,228.2,-14.8
LIS_6,Lisianski,LIS_4067,8,6,Y,52.2,6.1,275.6,-19
LIS_12,Lisianski,LIS_R10,37,12,N,16.6,3.9,168.4,-16.9
LIS_11,Lisianski,LIS_R10,37,11,Y,15.5,4.6,114,-23.8
LIS_15,Lisianski,LIS_R7,38,15,Y,14.3,2.9,88.3,-23.6
LIS_13,Lisianski,LIS_R7,38,13,N,14.1,3.6,123.7,-18.9
MAR_10,Maro,MAR_22,49,10,N,23.4,6.3,312.6,-12.3
MAR_12,Maro,MAR_22,49,12,Y,12.9,5.8,97.9,-24.3
MAR_6,Maro,MAR_31,30,6,Y,10.9,4.9,101.7,-24.4
MAR_4,Maro,MAR_31,30,4,N,11.4,4.8,126.9,-17.8
MAR_22,Maro,MAR_R1,27,22,N,18.5,4.5,175.4,-18.1
MAR_24,Maro,MAR_R1,27,24,Y,10.2,6.9,71.1,-24.6
MAR_25,Maro,MAR_R12,40,25,N,10.3,2.8,122.5,-22.2
MAR_27,Maro,MAR_R12,40,27,Y,18.3,5,106.5,-23.4
MAR_21,Maro,MAR_R3,50,21,N,17.4,5.6,148.9,-20.2
MAR_19,Maro,MAR_R3,50,19,Y,22,5.8,168.7,-24.2
MAR_9,Maro,MAR_R5,25,9,N,17.9,3.8,574.3,-17.1
MAR_8,Maro,MAR_R5,25,8,Y,14.8,4.1,129.5,-24.4
MID_11,Midway,MID_CW-4,5,11,N,14.8,5.2,174.5,-16.6
MID_10,Midway,MID_CW-4,5,10,Y,18,4.3,165.1,-21
MID_2,Midway,MID_H21,6,2,N,14.5,4.2,137.4,-15
MID_1,Midway,MID_H21,6,1,Y,21.6,5.2,156.9,-20.2
MID_6,Midway,MID_R23-21,3,6,N,17.7,4.9,216,-12.4
MID_4,Midway,MID_R23-21,3,4,Y,18.1,4.2,134.1,-19.1
MID_9,Midway,MID_TC1,4,9,N,21.5,4.3,246.7,-17.2
MID_8,Midway,MID_TC1,4,8,Y,17.2,4.1,142.4,-20.4
PHA_6,Pearl and Hermes,PHA_32,20,6,N,19.5,5.7,561.4,-5.5
PHA_5,Pearl and Hermes,PHA_32,20,5,Y,11.8,6,113.7,-22.5
PHA_11,Pearl and Hermes,PHA_4054,30,11,N,7.2,5.9,72.6,-17.9
PHA_10,Pearl and Hermes,PHA_4054,30,10,Y,11.1,4.9,96.8,-22.4
PHA_14,Pearl and Hermes,PHA_CW-2,30,14,N,10.4,4.1,117.7,-15.2
PHA_15,Pearl and Hermes,PHA_CW-2,30,15,Y,11.5,4.8,89.8,-22.1
PHA_16,Pearl and Hermes,PHA_CW-3,20,16,N,17.4,4.5,522.8,-12.7
PHA_17,Pearl and Hermes,PHA_CW-3,20,17,Y,12.9,6.3,143.3,-24.3
PHA_3,Pearl and Hermes,PHA_TC26,8,3,N,22.4,4.1,198.8,-16
PHA_2,Pearl and Hermes,PHA_TC26,8,2,Y,13.9,3.4,91.4,-22.3
