Atoll.Island,Day,Loc,Site,depth..ft,Rep,Chla..ug.L
French Frigate Shoals,2,2,FFS_30,18,1,0.312
French Frigate Shoals,2,2,FFS_30,18,1,NA
French Frigate Shoals,2,2,FFS_30,18,1,NA
French Frigate Shoals,2,4,FFS_32,21,5,0.2448
French Frigate Shoals,2,4,FFS_32,21,6,0.2304
French Frigate Shoals,2,4,FFS_32,21,7,0.288
French Frigate Shoals,2,3,FFS_33,35,2,0.3456
French Frigate Shoals,2,3,FFS_33,35,3,0.3568
French Frigate Shoals,2,3,FFS_33,35,4,0.432
Kure Atoll,1,2,KUR_14,8,4,0.1696
Kure Atoll,1,2,KUR_14,8,5,0.159219512
Kure Atoll,1,2,KUR_14,8,6,0.1856
Kure Atoll,1,1,KUR_R36,7,1,0.126439024
Kure Atoll,1,1,KUR_R36,7,2,0.1288
Kure Atoll,1,1,KUR_R36,7,3,0.17795122
Kure Atoll,1,3,KUR_TC14,9,7,0.1256
Kure Atoll,1,3,KUR_TC14,9,8,0.12912
Kure Atoll,1,3,KUR_TC14,9,9,0.13824
Kure Atoll,2,4,KUR_TC17,4,10,0.14592
Kure Atoll,2,4,KUR_TC17,4,11,0.14595122
Kure Atoll,2,4,KUR_TC17,4,12,0.12368
Laysan Island,1,3,LAY_5,33,7,0.2016
Laysan Island,1,3,LAY_5,33,8,0.1776
Laysan Island,1,3,LAY_5,33,9,0.24
Laysan Island,1,2,LAY_R11,25,4,0.2256
Laysan Island,1,2,LAY_R11,25,5,0.2272
Laysan Island,1,2,LAY_R11,25,6,0.2208
Laysan Island,1,1,LAY_R12,25,1,0.2512
Laysan Island,1,1,LAY_R12,25,2,0.2576
Laysan Island,1,1,LAY_R12,25,3,0.2288
Lisianski Island,3,7,LIS_R10,37,19,0.1888
Lisianski Island,3,7,LIS_R10,37,20,0.2352
Lisianski Island,3,7,LIS_R10,37,21,0.2304
Lisianski Island,3,8,LIS_4014-2014,38,22,0.240390244
Lisianski Island,3,8,LIS_4014-2014,38,23,0.328
Lisianski Island,3,8,LIS_4014-2014,38,24,0.2768
Lisianski Island,1,3,LIS_4008-2014,27,7,0.3312
Lisianski Island,1,3,LIS_4008-2014,27,8,0.195121951
Lisianski Island,1,3,LIS_4008-2014,27,9,0.3088
Lisianski Island,3,9,LIS_4019-2014,40,25,0.2288
Lisianski Island,3,9,LIS_4019-2014,40,26,0.4528
Lisianski Island,3,9,LIS_4019-2014,40,27,0.4704
Lisianski Island,1,2,LIS_4067,8,4,0.240390244
Lisianski Island,1,2,LIS_4067,8,5,0.2736
Lisianski Island,1,2,LIS_4067,8,6,0.2768
Lisianski Island,1,1,LIS_Court,14,1,0.3776
Lisianski Island,1,1,LIS_Court,14,2,0.4128
Lisianski Island,1,1,LIS_Court,14,3,0.4016
Lisianski Island,2,6,LIS_CW1,30,16,0.4272
Lisianski Island,2,6,LIS_CW1,30,17,0.3856
Lisianski Island,2,6,LIS_CW1,30,18,0.4192
Lisianski Island,2,4,LIS_R10,37,10,0.237268293
Lisianski Island,2,4,LIS_R10,37,11,0.184195122
Lisianski Island,2,4,LIS_R10,37,12,0.248195122
Lisianski Island,2,5,LIS_R7,38,13,0.3936
Lisianski Island,2,5,LIS_R7,38,14,0.343414634
Lisianski Island,2,5,LIS_R7,38,15,0.3568
Maro Reef,2,4,MAR_22,49,10,0.2128
Maro Reef,2,4,MAR_22,49,11,0.2336
Maro Reef,2,4,MAR_22,49,12,0.2704
Maro Reef,1,2,MAR_31,30,4,0.2864
Maro Reef,1,2,MAR_31,30,5,0.229463415
Maro Reef,1,2,MAR_31,30,6,0.2848
Maro Reef,1,1,MAR_32,48,1,0.20604878
Maro Reef,1,1,MAR_32,48,2,0.2736
Maro Reef,1,1,MAR_32,48,3,0.184
Maro Reef,2,6,MAR_6,23,16,0.2528
Maro Reef,2,6,MAR_6,23,17,0.265365854
Maro Reef,2,6,MAR_6,23,18,0.3136
Maro Reef,2,5,MAR_8,11,13,0.323121951
Maro Reef,2,5,MAR_8,11,14,0.399609756
Maro Reef,2,5,MAR_8,11,15,0.44
Maro Reef,3,8,MAR_R1,27,22,0.2448
Maro Reef,3,8,MAR_R1,27,23,0.365268293
Maro Reef,3,8,MAR_R1,27,24,0.3424
Maro Reef,3,9,MAR_R12,40,25,0.4048
Maro Reef,3,9,MAR_R12,40,26,0.39804878
Maro Reef,3,9,MAR_R12,40,27,0.48
Maro Reef,3,7,MAR_R3,50,19,0.2128
Maro Reef,3,7,MAR_R3,50,20,0.235707317
Maro Reef,3,7,MAR_R3,50,21,0.24
Maro Reef,1,3,MAR_R5,25,7,0.483902439
Maro Reef,1,3,MAR_R5,25,8,0.5568
Maro Reef,1,3,MAR_R5,25,9,0.483902439
Midway Atoll,2,4,MID_CW-4,5,10,0.13632
Midway Atoll,2,4,MID_CW-4,5,11,0.1088
Midway Atoll,2,4,MID_CW-4,5,12,0.15648
Midway Atoll,1,1,MID_H21,6,1,0.3584
Midway Atoll,1,1,MID_H21,6,2,0.2384
