Island,Site,depth..ft,d13C,chla,d15N
French Frigate Shoals,FFS_30,18,-22.7,0.312,5.7
French Frigate Shoals,FFS_32,21,-24.2,0.2544,5.1
French Frigate Shoals,FFS_33,35,-22.4,0.378133333,4.1
Kure,KUR_14,8,-19.8,0.171473171,4
Kure,KUR_R36,7,-22.7,0.144396748,4.8
Kure,KUR_TC14,9,-21.7,0.130986667,5.1
Kure,KUR_TC17,4,-21.7,0.138517073,4.3
Laysan,LAY_5,33,-24.5,0.2064,3.8
Laysan,LAY_R11,25,-22.8,0.224533333,4
Laysan,LAY_R12,25,-22.8,0.245866667,3.5
Lisianski,LIS_4008-2014,27,-24,0.278373984,4.2
Lisianski,LIS_4014-2014,38,-24.2,0.281730081,3.6
Lisianski,LIS_4019-2014,40,-25,0.384,4.4
Lisianski,LIS_4067,8,-19,0.263596748,5.5
Lisianski,LIS_R10,37,-23.8,0.223219512,3.9
Lisianski,LIS_R7,38,-23.6,0.364604878,3.6
Maro,MAR_22,49,-24.3,0.238933333,6.3
Maro,MAR_31,30,-24.4,0.266887805,4.8
Maro,MAR_R1,27,-24.6,0.317489431,4.5
Maro,MAR_R12,40,-23.4,0.42761626,2.8
Maro,MAR_R3,50,-24.2,0.229502439,5.6
Maro,MAR_R5,25,-24.4,0.508201626,3.8
Midway,MID_CW-4,5,-21,0.133866667,5.2
Midway,MID_TC1,4,-20.4,0.2496,4.3
Midway,MID_H21,6,-20.2,0.3264,4.2
Midway,MID_R23-21,3,-19.1,0.2192,4.9
Pearl and Hermes,PHA_32,20,-22.5,0.053333334,5.7
Pearl and Hermes,PHA_4054,30,-22.4,0.063413333,5.9
Pearl and Hermes,PHA_CW-2,30,-22.1,0.119306667,4.1
Pearl and Hermes,PHA_CW-3,20,-24.3,0.09559935,4.5
Pearl and Hermes,PHA_TC26,8,-22.3,0.101644228,4.1
