* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Wall_PMNM_CD_plate14.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	PMNM_360	C	UNKNOWN	VIC	NFQ-MGB	29.3023	29.3274	0.0355				false	0.01	false	16	22		N	N
A2	PMNM_360	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
A3	PMNM_360	C	UNKNOWN	VIC	NFQ-MGB	29.3525	29.3274	0.0355				false	0.01	false	16	22		N	N
A3	PMNM_360	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
A4	PMNM_363	C	UNKNOWN	VIC	NFQ-MGB	29.7443	30.7041	1.3574				false	0.01	false	16	22		Y	N
A4	PMNM_363	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
A5	PMNM_363	C	UNKNOWN	VIC	NFQ-MGB	31.664	30.7041	1.3574				false	0.01	false	16	22		Y	N
A5	PMNM_363	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
A6	PMNM_15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.8683					false	0.01	false	16	22		N	Y
A6	PMNM_15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	Y
A7	PMNM_15	C	UNKNOWN	VIC	NFQ-MGB	38.8683	38.8683					false	0.01	false	16	22		N	Y
A7	PMNM_15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	Y
A8	PMNM_301	C	UNKNOWN	VIC	NFQ-MGB	37.0717	36.8845	0.2647				false	0.01	false	16	22		N	N
A8	PMNM_301	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
A9	PMNM_301	C	UNKNOWN	VIC	NFQ-MGB	36.6973	36.8845	0.2647				false	0.01	false	16	22		N	N
A9	PMNM_301	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
A10	+C_52	C	UNKNOWN	VIC	NFQ-MGB	33.3246	33.0964	0.3227				false	0.01	false	16	22		N	N
A10	+C_52	D	UNKNOWN	FAM	NFQ-MGB	32.2559	32.293	0.0524				true	0.01	true	16	22		N	N
A11	+C_52	C	UNKNOWN	VIC	NFQ-MGB	32.8682	33.0964	0.3227				false	0.01	false	16	22		N	N
A11	+C_52	D	UNKNOWN	FAM	NFQ-MGB	32.33	32.293	0.0524				true	0.01	true	16	22		N	N
A12																		N	N
B1	PMNM_358	C	UNKNOWN	VIC	NFQ-MGB	29.8726	30.0662	0.2738				false	0.01	false	16	22		N	N
B1	PMNM_358	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
B2	PMNM_358	C	UNKNOWN	VIC	NFQ-MGB	30.2597	30.0662	0.2738				false	0.01	false	16	22		N	N
B2	PMNM_358	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
B3	PMNM_386	C	UNKNOWN	VIC	NFQ-MGB	30.7576	30.7039	0.0758				false	0.01	false	16	22		N	N
B3	PMNM_386	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
B4	PMNM_386	C	UNKNOWN	VIC	NFQ-MGB	30.6503	30.7039	0.0758				false	0.01	false	16	22		N	N
B4	PMNM_386	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
B5	cntl_1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	16	22		N	Y
B5	cntl_1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	Y
B6	cntl_1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	16	22		N	Y
B6	cntl_1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	Y
B7	PMNM_293	C	UNKNOWN	VIC	NFQ-MGB	36.3803	36.3803					false	0.01	false	16	22		N	N
B7	PMNM_293	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
B8	PMNM_293	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.3803					false	0.01	false	16	22		N	Y
B8	PMNM_293	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	Y
B9	PMNM_97	C	UNKNOWN	VIC	NFQ-MGB	31.2457	31.1154	0.1843				false	0.01	false	16	22		N	N
B9	PMNM_97	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
B10	PMNM_97	C	UNKNOWN	VIC	NFQ-MGB	30.985	31.1154	0.1843				false	0.01	false	16	22		N	Y
B10	PMNM_97	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	Y
B11	PMNM_41	C	UNKNOWN	VIC	NFQ-MGB	32.1025	32.1373	0.0492				false	0.01	false	16	22		N	Y
B11	PMNM_41	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	Y
B12	PMNM_41	C	UNKNOWN	VIC	NFQ-MGB	32.1721	32.1373	0.0492				false	0.01	false	16	22		N	Y
B12	PMNM_41	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	Y
C1	PMNM_211	C	UNKNOWN	VIC	NFQ-MGB	37.9671	35.9186	2.897				false	0.01	false	16	22		Y	N
C1	PMNM_211	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
C2	PMNM_211	C	UNKNOWN	VIC	NFQ-MGB	33.8701	35.9186	2.897				false	0.01	false	16	22		Y	N
C2	PMNM_211	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
C3	PMNM_51	C	UNKNOWN	VIC	NFQ-MGB	27.5691	27.3909	0.252				false	0.01	false	16	22		N	N
C3	PMNM_51	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
C4	PMNM_51	C	UNKNOWN	VIC	NFQ-MGB	27.2128	27.3909	0.252				false	0.01	false	16	22		N	N
C4	PMNM_51	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
C5	PMNM_195	C	UNKNOWN	VIC	NFQ-MGB	28.877	28.4279	0.6352				false	0.01	false	16	22		Y	N
C5	PMNM_195	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
C6	PMNM_195	C	UNKNOWN	VIC	NFQ-MGB	27.9788	28.4279	0.6352				false	0.01	false	16	22		Y	N
C6	PMNM_195	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
C7	PMNM_297	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	16	22		N	Y
C7	PMNM_297	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	Y
C8	PMNM_297	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	16	22		N	Y
C8	PMNM_297	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	Y
C9	PMNM_35	C	UNKNOWN	VIC	NFQ-MGB	26.8292	26.3744	0.6432				false	0.01	false	16	22		Y	N
C9	PMNM_35	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
C10	PMNM_35	C	UNKNOWN	VIC	NFQ-MGB	25.9196	26.3744	0.6432				false	0.01	false	16	22		Y	N
C10	PMNM_35	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
C11	PMNM_102	C	UNKNOWN	VIC	NFQ-MGB	29.6477	30.0473	0.5651				false	0.01	false	16	22		Y	N
C11	PMNM_102	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
C12	PMNM_102	C	UNKNOWN	VIC	NFQ-MGB	30.4469	30.0473	0.5651				false	0.01	false	16	22		Y	N
C12	PMNM_102	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
D1	PMNM_228	C	UNKNOWN	VIC	NFQ-MGB	28.2346	27.752	0.6826				false	0.01	false	16	22		Y	N
D1	PMNM_228	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
D2	PMNM_228	C	UNKNOWN	VIC	NFQ-MGB	27.2693	27.752	0.6826				false	0.01	false	16	22		Y	N
D2	PMNM_228	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
D3	PMNM_172	C	UNKNOWN	VIC	NFQ-MGB	32.8384	32.0236	1.1522				false	0.01	false	16	22		Y	N
D3	PMNM_172	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
D4	PMNM_172	C	UNKNOWN	VIC	NFQ-MGB	31.2089	32.0236	1.1522				false	0.01	false	16	22		Y	N
D4	PMNM_172	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		Y	N
D5	PMNM_201	C	UNKNOWN	VIC	NFQ-MGB	37.3036	37.3036					false	0.01	false	16	22		N	N
D5	PMNM_201	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	16	22		N	N
