Atoll.Island,Day,Loc,Site,Rep,Chla..ug.L
French Frigate Shoals,2,2,FFS_30,1,0.312
French Frigate Shoals,2,2,FFS_30,1,NA
French Frigate Shoals,2,2,FFS_30,1,NA
French Frigate Shoals,2,3,FFS_33,2,0.3456
French Frigate Shoals,2,3,FFS_33,3,0.3568
French Frigate Shoals,2,3,FFS_33,4,0.432
French Frigate Shoals,2,4,FFS_32,5,0.2448
French Frigate Shoals,2,4,FFS_32,6,0.2304
French Frigate Shoals,2,4,FFS_32,7,0.288
Maro Reef,1,1,MAR_32,1,0.20604878
Maro Reef,1,1,MAR_32,2,0.2736
Maro Reef,1,1,MAR_32,3,0.184
Maro Reef,1,2,MAR_31,4,0.2864
Maro Reef,1,2,MAR_31,5,0.229463415
Maro Reef,1,2,MAR_31,6,0.2848
Maro Reef,1,3,MAR_R5,7,0.483902439
Maro Reef,1,3,MAR_R5,8,0.5568
Maro Reef,1,3,MAR_R5,9,0.483902439
Maro Reef,2,4,MAR_22,10,0.2128
Maro Reef,2,4,MAR_22,11,0.2336
Maro Reef,2,4,MAR_22,12,0.2704
Maro Reef,2,5,MAR_8,13,0.323121951
Maro Reef,2,5,MAR_8,14,0.399609756
Maro Reef,2,5,MAR_8,15,0.44
Maro Reef,2,6,MAR_6,16,0.2528
Maro Reef,2,6,MAR_6,17,0.265365854
Maro Reef,2,6,MAR_6,18,0.3136
Maro Reef,3,7,MAR_R3,19,0.2128
Maro Reef,3,7,MAR_R3,20,0.235707317
Maro Reef,3,7,MAR_R3,21,0.24
Maro Reef,3,8,MAR_R1,22,0.2448
Maro Reef,3,8,MAR_R1,23,0.365268293
Maro Reef,3,8,MAR_R1,24,0.3424
Maro Reef,3,9,MAR_R12,25,0.4048
Maro Reef,3,9,MAR_R12,26,0.39804878
Maro Reef,3,9,MAR_R12,27,0.48
Laysan Island,1,1,LAY_R12,1,0.2512
Laysan Island,1,1,LAY_R12,2,0.2576
Laysan Island,1,1,LAY_R12,3,0.2288
Laysan Island,1,2,LAY_R11,4,0.2256
Laysan Island,1,2,LAY_R11,5,0.2272
Laysan Island,1,2,LAY_R11,6,0.2208
Laysan Island,1,3,LAY_5,7,0.2016
Laysan Island,1,3,LAY_5,8,0.1776
Laysan Island,1,3,LAY_5,9,0.24
