* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = D:\Kelly_PMNM_plate1.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	BADROX	HIGHSD	NOAMP	NOISE	NOSIGNAL	CTFAIL
A1																		N	N	N	N	N	N
A2	+C	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		Y	N	N	Y	Y	N
A2	+C	D	UNKNOWN	FAM	NFQ-MGB	17.4906	17.4906					true	0.01	true	3	20		Y	N	N	Y	Y	N
A3	+C	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	Y	N	N	N
A3	+C	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	17.4906					true	0.01	true	3	20		N	N	Y	N	N	N
A4	ddH20	C	UNKNOWN	VIC	NFQ-MGB	37.8733	37.8733					false	0.01	false	3	20		Y	Y	Y	N	Y	N
A4	ddH20	D	UNKNOWN	FAM	NFQ-MGB	31.6044	34.3878	3.9362				true	0.01	true	3	20		Y	Y	Y	N	Y	N
A5	ddH20	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	37.8733					false	0.01	false	3	20		Y	Y	Y	N	Y	N
A5	ddH20	D	UNKNOWN	FAM	NFQ-MGB	37.1711	34.3878	3.9362				true	0.01	true	3	20		Y	Y	Y	N	Y	N
A6	cntl_1	C	UNKNOWN	VIC	NFQ-MGB	34.5238	34.4452	0.1113				false	0.01	false	3	20		Y	Y	Y	N	Y	N
A6	cntl_1	D	UNKNOWN	FAM	NFQ-MGB	31.3376	30.1046	1.7438				true	0.01	true	3	20		Y	Y	Y	N	Y	N
A7	cntl_1	C	UNKNOWN	VIC	NFQ-MGB	34.3665	34.4452	0.1113				false	0.01	false	3	20		Y	Y	Y	N	Y	N
A7	cntl_1	D	UNKNOWN	FAM	NFQ-MGB	28.8715	30.1046	1.7438				true	0.01	true	3	20		Y	Y	Y	N	Y	N
A8	PMNM_1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	37.6776					false	0.01	false	3	20		Y	Y	Y	N	Y	N
A8	PMNM_1	D	UNKNOWN	FAM	NFQ-MGB	34.2654	32.1854	2.9415				true	0.01	true	3	20		Y	Y	Y	N	Y	N
A9	PMNM_1	C	UNKNOWN	VIC	NFQ-MGB	37.6776	37.6776					false	0.01	false	3	20		Y	Y	Y	N	Y	N
A9	PMNM_1	D	UNKNOWN	FAM	NFQ-MGB	30.1055	32.1854	2.9415				true	0.01	true	3	20		Y	Y	Y	N	Y	N
A10	PMNM_11	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	30.7013					false	0.01	false	3	20		Y	N	Y	N	Y	N
A10	PMNM_11	D	UNKNOWN	FAM	NFQ-MGB	30.7868	30.7868					true	0.01	true	3	20		Y	N	Y	N	Y	N
A11	PMNM_11	C	UNKNOWN	VIC	NFQ-MGB	30.7013	30.7013					false	0.01	false	3	20		Y	N	Y	N	Y	Y
A11	PMNM_11	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	30.7868					true	0.01	true	3	20		Y	N	Y	N	Y	Y
A12																		N	N	N	N	N	N
B1	PMNM_21	C	UNKNOWN	VIC	NFQ-MGB	35.2012	29.2423	8.4271				false	0.01	false	3	20		N	Y	N	N	N	N
B1	PMNM_21	D	UNKNOWN	FAM	NFQ-MGB	29.5774	26.505	4.3451				true	0.01	true	3	20		N	Y	N	N	N	N
B2	PMNM_21	C	UNKNOWN	VIC	NFQ-MGB	23.2835	29.2423	8.4271				false	0.01	false	3	20		Y	Y	N	N	Y	N
B2	PMNM_21	D	UNKNOWN	FAM	NFQ-MGB	23.4326	26.505	4.3451				true	0.01	true	3	20		Y	Y	N	N	Y	N
B3	PMNM_31	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	39.2566					false	0.01	false	3	20		N	N	Y	N	N	N
B3	PMNM_31	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	29.728					true	0.01	true	3	20		N	N	Y	N	N	N
B4	PMNM_31	C	UNKNOWN	VIC	NFQ-MGB	39.2566	39.2566					false	0.01	false	3	20		Y	N	Y	N	Y	N
B4	PMNM_31	D	UNKNOWN	FAM	NFQ-MGB	29.728	29.728					true	0.01	true	3	20		Y	N	Y	N	Y	N
B5	PMNM_41	C	UNKNOWN	VIC	NFQ-MGB	38.8216	37.3683	2.0552				false	0.01	false	3	20		Y	Y	Y	N	Y	N
B5	PMNM_41	D	UNKNOWN	FAM	NFQ-MGB	29.9416	29.0925	1.2008				true	0.01	true	3	20		Y	Y	Y	N	Y	N
B6	PMNM_41	C	UNKNOWN	VIC	NFQ-MGB	35.9151	37.3683	2.0552				false	0.01	false	3	20		Y	Y	Y	N	Y	N
B6	PMNM_41	D	UNKNOWN	FAM	NFQ-MGB	28.2434	29.0925	1.2008				true	0.01	true	3	20		Y	Y	Y	N	Y	N
B7	PMNM_51	C	UNKNOWN	VIC	NFQ-MGB	36.4563	37.0244	0.8034				false	0.01	false	3	20		Y	Y	Y	N	Y	N
B7	PMNM_51	D	UNKNOWN	FAM	NFQ-MGB	34.7027	34.7027					true	0.01	true	3	20		Y	Y	Y	N	Y	N
B8	PMNM_51	C	UNKNOWN	VIC	NFQ-MGB	37.5924	37.0244	0.8034				false	0.01	false	3	20		Y	Y	Y	N	Y	Y
B8	PMNM_51	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	34.7027					true	0.01	true	3	20		Y	Y	Y	N	Y	Y
B9	PMNM_111	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	28.5503					false	0.01	false	3	20		Y	Y	Y	N	Y	Y
B9	PMNM_111	D	UNKNOWN	FAM	NFQ-MGB	32.4147	28.4585	5.5949				true	0.01	true	3	20		Y	Y	Y	N	Y	Y
B10	PMNM_111	C	UNKNOWN	VIC	NFQ-MGB	28.5503	28.5503					false	0.01	false	3	20		Y	Y	Y	N	Y	N
B10	PMNM_111	D	UNKNOWN	FAM	NFQ-MGB	24.5024	28.4585	5.5949				true	0.01	true	3	20		Y	Y	Y	N	Y	N
B11	PMNM_121	C	UNKNOWN	VIC	NFQ-MGB	36.9473	36.601	0.4897				false	0.01	false	3	20		Y	Y	Y	N	Y	N
B11	PMNM_121	D	UNKNOWN	FAM	NFQ-MGB	34.4703	33.6153	1.2092				true	0.01	true	3	20		Y	Y	Y	N	Y	N
B12	PMNM_121	C	UNKNOWN	VIC	NFQ-MGB	36.2547	36.601	0.4897				false	0.01	false	3	20		Y	Y	Y	N	Y	N
B12	PMNM_121	D	UNKNOWN	FAM	NFQ-MGB	32.7602	33.6153	1.2092				true	0.01	true	3	20		Y	Y	Y	N	Y	N
C1	PMNM_131	C	UNKNOWN	VIC	NFQ-MGB	27.362	18.9865	11.8448				false	0.01	false	3	20		N	Y	N	N	N	N
C1	PMNM_131	D	UNKNOWN	FAM	NFQ-MGB	25.1663	17.7974	10.4212				true	0.01	true	3	20		N	Y	N	N	N	N
C2	PMNM_131	C	UNKNOWN	VIC	NFQ-MGB	10.611	18.9865	11.8448				false	0.01	false	3	20		Y	Y	N	N	Y	N
C2	PMNM_131	D	UNKNOWN	FAM	NFQ-MGB	10.4286	17.7974	10.4212				true	0.01	true	3	20		Y	Y	N	N	Y	N
C3	PMNM_141	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.5056					false	0.01	false	3	20		N	Y	N	N	N	N
C3	PMNM_141	D	UNKNOWN	FAM	NFQ-MGB	27.8269	28.6887	1.2188				true	0.01	true	3	20		N	Y	N	N	N	N
C4	PMNM_141	C	UNKNOWN	VIC	NFQ-MGB	36.5056	36.5056					false	0.01	false	3	20		Y	Y	Y	N	Y	N
C4	PMNM_141	D	UNKNOWN	FAM	NFQ-MGB	29.5506	28.6887	1.2188				true	0.01	true	3	20		Y	Y	Y	N	Y	N
C5	PMNM_151	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	34.0529					false	0.01	false	3	20		Y	N	Y	N	Y	Y
C5	PMNM_151	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	3	20		Y	N	Y	N	Y	Y
C6	PMNM_151	C	UNKNOWN	VIC	NFQ-MGB	34.0529	34.0529					false	0.01	false	3	20		Y	N	Y	N	Y	Y
C6	PMNM_151	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	3	20		Y	N	Y	N	Y	Y
C7	PMNM_161	C	UNKNOWN	VIC	NFQ-MGB	38.4221	38.4221					false	0.01	false	3	20		Y	N	Y	N	Y	N
C7	PMNM_161	D	UNKNOWN	FAM	NFQ-MGB	37.0834	37.0834					true	0.01	true	3	20		Y	N	Y	N	Y	N
C8	PMNM_161	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.4221					false	0.01	false	3	20		Y	N	Y	N	Y	Y
C8	PMNM_161	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.0834					true	0.01	true	3	20		Y	N	Y	N	Y	Y
C9	PMNM_201	C	UNKNOWN	VIC	NFQ-MGB	39.3191	37.2963	2.8606				false	0.01	false	3	20		Y	Y	Y	N	Y	Y
C9	PMNM_201	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	31.1659					true	0.01	true	3	20		Y	Y	Y	N	Y	Y
C10	PMNM_201	C	UNKNOWN	VIC	NFQ-MGB	35.2735	37.2963	2.8606				false	0.01	false	3	20		Y	Y	Y	N	Y	N
C10	PMNM_201	D	UNKNOWN	FAM	NFQ-MGB	31.1659	31.1659					true	0.01	true	3	20		Y	Y	Y	N	Y	N
C11	PMNM_211	C	UNKNOWN	VIC	NFQ-MGB	31.7311	34.6585	4.1399				false	0.01	false	3	20		Y	Y	Y	N	Y	N
C11	PMNM_211	D	UNKNOWN	FAM	NFQ-MGB	31.185	31.4026	0.3076				true	0.01	true	3	20		Y	Y	Y	N	Y	N
C12	PMNM_211	C	UNKNOWN	VIC	NFQ-MGB	37.5859	34.6585	4.1399				false	0.01	false	3	20		Y	Y	Y	N	Y	N
C12	PMNM_211	D	UNKNOWN	FAM	NFQ-MGB	31.6201	31.4026	0.3076				true	0.01	true	3	20		Y	Y	Y	N	Y	N
D1	PMNM_221	C	UNKNOWN	VIC	NFQ-MGB	29.4213	28.9019	0.7346				false	0.01	false	3	20		N	Y	Y	N	N	N
D1	PMNM_221	D	UNKNOWN	FAM	NFQ-MGB	2.4648	2.4648					true	0.01	true	3	20		N	Y	Y	N	N	N
D2	PMNM_221	C	UNKNOWN	VIC	NFQ-MGB	28.3824	28.9019	0.7346				false	0.01	false	3	20		N	Y	N	N	N	N
D2	PMNM_221	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	2.4648					true	0.01	true	3	20		N	Y	N	N	N	N
D3	PMNM_231	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	30.8036					false	0.01	false	3	20		N	Y	Y	N	N	N
D3	PMNM_231	D	UNKNOWN	FAM	NFQ-MGB	21.452	26.2447	6.778				true	0.01	true	3	20		N	Y	Y	N	N	N
D4	PMNM_231	C	UNKNOWN	VIC	NFQ-MGB	30.8036	30.8036					false	0.01	false	3	20		Y	Y	Y	N	Y	N
D4	PMNM_231	D	UNKNOWN	FAM	NFQ-MGB	31.0375	26.2447	6.778				true	0.01	true	3	20		Y	Y	Y	N	Y	N
D5	PMNM_241	C	UNKNOWN	VIC	NFQ-MGB	36.836	35.3217	2.1414				false	0.01	false	3	20		Y	Y	Y	N	Y	N
D5	PMNM_241	D	UNKNOWN	FAM	NFQ-MGB	27.4657	27.4657					true	0.01	true	3	20		Y	Y	Y	N	Y	N
D6	PMNM_241	C	UNKNOWN	VIC	NFQ-MGB	33.8075	35.3217	2.1414				false	0.01	false	3	20		Y	Y	Y	N	Y	Y
