,Project,Region,Island,Site,Depth..ft,Sample.ID,Sample.Name,File.Name,A.CT.mean,A.CT.sd,A.reps,fail
4,PMNM,South,FFS,FFS_30,18,1,PMNM_1,Kelly_PMNM_plateA1.txt,NA,NA,0,TRUE
17,PMNM,South,FFS,FFS_30,18,2,PMNM_2,Kelly_PMNM_plateA1.txt,NA,NA,0,TRUE
74,PMNM,South,FFS,FFS_30,18,3,PMNM_3,Kelly_PMNM_plateA2.txt,NA,NA,0,TRUE
87,PMNM,South,FFS,FFS_30,18,4,PMNM_4,Kelly_PMNM_plateA2.txt,NA,NA,0,TRUE
133,PMNM,South,FFS,FFS_30,18,5,PMNM_5,Kelly_PMNM_plateA3.txt,NA,NA,0,TRUE
135,PMNM,South,FFS,FFS_30,18,6,PMNM_6,Kelly_PMNM_plateA3.txt,NA,NA,0,TRUE
181,PMNM,South,FFS,FFS_30,18,7,PMNM_7,Kelly_PMNM_plateA4.txt,NA,NA,0,TRUE
183,PMNM,South,FFS,FFS_30,18,8,PMNM_8,Kelly_PMNM_plateA4.txt,NA,NA,0,TRUE
228,PMNM,South,FFS,FFS_30,18,9,PMNM_9,Kelly_PMNM_plateA5.txt,NA,NA,0,TRUE
188,PMNM,South,FFS,FFS_30,18,10,PMNM_10,Kelly_PMNM_plateA5.txt,NA,NA,0,TRUE
6,PMNM,South,FFS,FFS_33,35,11,PMNM_11,Kelly_PMNM_plateA1.txt,NA,NA,0,TRUE
233,PMNM,South,FFS,FFS_33,35,12,PMNM_12,Kelly_PMNM_plateA6.txt,NA,NA,0,TRUE
54,PMNM,South,FFS,FFS_33,35,13,PMNM_13,Kelly_PMNM_plateA2.txt,NA,NA,0,TRUE
238,PMNM,South,FFS,FFS_33,35,14,PMNM_14,Kelly_PMNM_plateA6.txt,NA,NA,0,TRUE
102,PMNM,South,FFS,FFS_33,35,15,PMNM_15,Kelly_PMNM_plateA3.txt,NA,NA,0,TRUE
282,PMNM,South,FFS,FFS_33,35,16,PMNM_16,Kelly_PMNM_plateA7.txt,NA,NA,0,TRUE
150,PMNM,South,FFS,FFS_33,35,17,PMNM_17,Kelly_PMNM_plateA4.txt,NA,NA,0,TRUE
330,PMNM,South,FFS,FFS_33,35,18,PMNM_18,Kelly_PMNM_plateA8.txt,NA,NA,0,TRUE
199,PMNM,South,FFS,FFS_33,35,19,PMNM_19,Kelly_PMNM_plateA5.txt,NA,NA,0,TRUE
380,PMNM,South,FFS,FFS_33,35,20,PMNM_20,Kelly_PMNM_plateA9.txt,NA,NA,0,TRUE
20,PMNM,South,FFS,FFS_32,21,21,PMNM_21,Kelly_PMNM_plateA1.txt,NA,NA,0,TRUE
247,PMNM,South,FFS,FFS_32,21,22,PMNM_22,Kelly_PMNM_plateA6.txt,NA,NA,0,TRUE
66,PMNM,South,FFS,FFS_32,21,23,PMNM_23,Kelly_PMNM_plateA2.txt,NA,NA,0,TRUE
251,PMNM,South,FFS,FFS_32,21,24,PMNM_24,Kelly_PMNM_plateA6.txt,NA,NA,0,TRUE
114,PMNM,South,FFS,FFS_32,21,25,PMNM_25,Kelly_PMNM_plateA3.txt,NA,NA,0,TRUE
294,PMNM,South,FFS,FFS_32,21,26,PMNM_26,Kelly_PMNM_plateA7.txt,NA,NA,0,TRUE
162,PMNM,South,FFS,FFS_32,21,27,PMNM_27,Kelly_PMNM_plateA4.txt,NA,NA,0,TRUE
342,PMNM,South,FFS,FFS_32,21,28,PMNM_28,Kelly_PMNM_plateA8.txt,NA,NA,0,TRUE
210,PMNM,South,FFS,FFS_32,21,29,PMNM_29,Kelly_PMNM_plateA5.txt,NA,NA,0,TRUE
392,PMNM,South,FFS,FFS_32,21,30,PMNM_30,Kelly_PMNM_plateA9.txt,NA,NA,0,TRUE
32,PMNM,Central,MAR,MAR_32,48,31,PMNM_31,Kelly_PMNM_plateA1.txt,NA,NA,0,TRUE
259,PMNM,Central,MAR,MAR_32,48,32,PMNM_32,Kelly_PMNM_plateA6.txt,NA,NA,0,TRUE
80,PMNM,Central,MAR,MAR_32,48,33,PMNM_33,Kelly_PMNM_plateA2.txt,NA,NA,0,TRUE
305,PMNM,Central,MAR,MAR_32,48,34,PMNM_34,Kelly_PMNM_plateA7.txt,NA,NA,0,TRUE
126,PMNM,Central,MAR,MAR_32,48,35,PMNM_35,Kelly_PMNM_plateA3.txt,NA,NA,0,TRUE
309,PMNM,Central,MAR,MAR_32,48,36,PMNM_36,Kelly_PMNM_plateA7.txt,NA,NA,0,TRUE
175,PMNM,Central,MAR,MAR_32,48,37,PMNM_37,Kelly_PMNM_plateA4.txt,NA,NA,0,TRUE
401,PMNM,Central,MAR,MAR_32,48,38,PMNM_38,Kelly_PMNM_plateA9.txt,29.83295,0.028779246,2,FALSE
222,PMNM,Central,MAR,MAR_32,48,39,PMNM_39,Kelly_PMNM_plateA5.txt,NA,NA,0,TRUE
403,PMNM,Central,MAR,MAR_32,48,40,PMNM_40,Kelly_PMNM_plateA9.txt,NA,NA,0,TRUE
42,PMNM,Central,MAR,MAR_31,30,41,PMNM_41,Kelly_PMNM_plateA1.txt,NA,NA,0,TRUE
268,PMNM,Central,MAR,MAR_31,30,42,PMNM_42,Kelly_PMNM_plateA6.txt,NA,NA,0,TRUE
88,PMNM,Central,MAR,MAR_31,30,43,PMNM_43,Kelly_PMNM_plateA2.txt,NA,NA,0,TRUE
314,PMNM,Central,MAR,MAR_31,30,44,PMNM_44,Kelly_PMNM_plateA7.txt,NA,NA,0,TRUE
132,PMNM,Central,MAR,MAR_31,30,45,PMNM_45,Kelly_PMNM_plateA3.txt,NA,NA,0,TRUE
356,PMNM,Central,MAR,MAR_31,30,46,PMNM_46,Kelly_PMNM_plateA8.txt,NA,NA,0,TRUE
178,PMNM,Central,MAR,MAR_31,30,47,PMNM_47,Kelly_PMNM_plateA4.txt,NA,NA,0,TRUE
357,PMNM,Central,MAR,MAR_31,30,48,PMNM_48,Kelly_PMNM_plateA8.txt,NA,NA,0,TRUE
